Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,CHANGEDONDATE
b9c610cd-28a6-4636-ccb6-c7a0d2a4cb85,2019-02-17,,999-65-3251,,,,Damon455,Langosh790,,,,white,nonhispanic,M,Middleborough  Massachusetts  US,620 Lynch Tunnel Apt 0,Springfield,Massachusetts,Hampden County,1104,42.08038943,-72.48043145,9039.1645,7964.1255,2024-01-01 0:00:00
c1f1fcaa-82fd-d5b7-3544-c8f9708b06a8,2005-07-04,,999-49-3323,S99941126,,,Thi53,Wunsch504,,,,white,nonhispanic,F,Danvers  Massachusetts  US,972 Tillman Branch Suite 48,Bellingham,Massachusetts,Norfolk County,,42.03521336,-71.48251905,402723.415,14064.135,2024-01-01 0:00:00
339144f8-50e1-633e-a013-f361391c4cff,1998-05-11,,999-10-8743,S99996708,X75063318X,Mr.,Chi716,Greenfelder433,,,,white,nonhispanic,M,Athens  Athens Prefecture  GR,1060 Bernhard Crossroad Suite 15,Boston,Massachusetts,Suffolk County,2131,42.29255662,-71.06116042,571935.8725,787.5375,2024-01-01 0:00:00
d488232e-bf14-4bed-08c0-a82f34b6a197,2003-01-28,,999-56-6057,S99929424,,Ms.,Phillis443,Walter473,,,,white,nonhispanic,F,Boston  Massachusetts  US,677 Ritchie Terrace,Hingham,Massachusetts,Plymouth County,2043,42.20049082,-70.91607558,582557.803,104782.207,2024-01-01 0:00:00
217f95a3-4e10-bd5d-fb67-0cfb5e8ba075,1993-12-23,,999-91-4320,S99991143,X44132498X,Mr.,Jerrold404,Herzog843,,,M,black,nonhispanic,M,Boston  Massachusetts  US,276 Bernier Branch,Revere,Massachusetts,Suffolk County,,42.38187488,-70.99928578,475826.855,18067.095,2024-01-01 0:00:00
faac724a-a9e9-be66-fe1e-3044dc0ba8ea,2020-12-04,,999-31-8261,,,,Brandon214,Watsica258,,,,white,nonhispanic,F,Northborough  Massachusetts  US,734 Brakus Pathway Unit 28,New Marlborough,Massachusetts,Berkshire County,,42.14702801,-73.2171032,31468.04,206.22,2024-01-01 0:00:00
23d16ee3-8cd4-eeb8-e77e-1e5fbf4c4159,1990-12-15,,999-60-9905,S99950633,X36202735X,Mr.,Rodrigo242,Arellano2,,,M,black,hispanic,M,Bogota  Bogota  CO,538 Crona Underpass,Revere,Massachusetts,Suffolk County,2151,42.4432615,-71.02232158,772362.725,2213.085,2024-01-01 0:00:00
aade3c61-92bd-d079-9d28-0b2b7fde0fbb,1985-06-05,,999-93-3123,S99913090,X72720258X,Mr.,Sal878,Hoppe518,,,M,white,nonhispanic,M,Merrimac  Massachusetts  US,930 Goldner Stravenue Apt 8,Somerville,Massachusetts,Middlesex County,2138,42.36345987,-71.10225287,924957.2675,874.3725,2024-01-01 0:00:00
0288c42c-43a1-9878-4a9d-6b96caa12c40,1979-12-17,,999-68-7908,S99962050,X4451825X,Mrs.,Miki234,Kozey370,,Morar593,M,white,nonhispanic,F,Northbridge  Massachusetts  US,636 Stamm Gateway,Cambridge,Massachusetts,Middlesex County,2472,42.33742542,-71.1066547,1134817.571,226909.9595,2024-01-01 0:00:00
dc6c06d0-a7d8-100f-c08b-46c93700c188,2006-07-11,,999-30-6555,,,,Taylor21,Gulgowski816,,,,white,nonhispanic,M,East Longmeadow  Massachusetts  US,1037 Hills Extension,Springfield,Massachusetts,Hampden County,1013,42.13505594,-72.48174986,390675.5775,1826.3325,2024-01-01 0:00:00
61a2fcc0-d679-764c-7d86-b885b2c4907f,1993-01-22,,999-98-2186,S99988392,X72124702X,Mrs.,Erline657,Metz686,,Strosin214,M,white,nonhispanic,F,Mashpee  Massachusetts  US,566 Rosenbaum Ferry,Holbrook,Massachusetts,Norfolk County,,42.15188021,-70.95230839,1223457.81,160.14,2024-01-01 0:00:00
c0219ca9-576f-f7c2-9c44-de030e94969b,1971-12-06,,999-24-2120,S99951566,X2456540X,Mrs.,Beatriz277,Urías338,,Villalpando154,M,white,hispanic,F,Lima  Lima Province  PE,497 Bahringer Crossing,Somerville,Massachusetts,Middlesex County,2138,42.37578549,-71.09039667,1509753.911,968261.839,2024-01-01 0:00:00
cb8c092a-99aa-6c9c-1ec1-660f0b00549d,1990-12-28,,999-74-6572,S99980075,X57149020X,Mrs.,Kari181,Douglas31,,Langworth352,M,white,nonhispanic,F,Framingham  Massachusetts  US,413 Auer Burg Suite 64,Wellesley,Massachusetts,Norfolk County,2457,42.330604,-71.30822396,1040518.45,22454.94,2024-01-01 0:00:00
97a20cf9-630d-939c-2f50-f13c434aee2f,1984-03-23,,999-16-8479,S99946662,X72015493X,Mrs.,Mayme605,Walter473,,Lesch175,M,white,nonhispanic,F,Blackstone  Massachusetts  US,441 Rodriguez Bridge,Boston,Massachusetts,Suffolk County,2129,42.36692392,-71.06483074,1622874.118,74751.4725,2024-01-01 0:00:00
55a6a46e-a1a4-0298-e58f-c0cb27cbb022,1958-09-18,2009-11-13,999-79-5115,S99956983,X26820988X,Mrs.,Maddie576,Gutmann970,,Blanda868,M,white,nonhispanic,F,Boston  Massachusetts  US,577 Schmeler Frontage road Unit 7,Quincy,Massachusetts,Norfolk County,2169,42.31470216,-71.0270053,2895617.604,312276.306,2024-01-01 0:00:00
961f61f8-ed32-f113-8450-192064b49aa9,2002-06-13,,999-91-5120,S99910835,,Ms.,Jessia669,Wisoky380,,,,white,nonhispanic,F,Southwick  Massachusetts  US,106 Kerluke Rest Apt 5,Abington,Massachusetts,Plymouth County,2351,42.15407877,-70.95799629,485313.59,1825.08,2024-01-01 0:00:00
9acc871f-b577-5530-b8ad-fa95b58cea25,1985-03-24,,999-59-7726,S99918599,X14875434X,Mrs.,Lavinia262,Heaney114,,Maggio310,M,white,nonhispanic,F,Cambridge  Massachusetts  US,446 Kreiger Route,Brookline,Massachusetts,Norfolk County,2446,42.29712691,-71.14523957,1425692.509,154972.8415,2024-01-01 0:00:00
1d3d0ba6-5475-07c2-0b40-562ad75fdf26,1960-01-21,,999-26-4708,S99981133,X33683613X,Mrs.,Laurena366,Heidenreich818,,Becker968,M,white,nonhispanic,F,Lawrence  Massachusetts  US,1039 Gerhold Ramp Apt 20,East Longmeadow,Massachusetts,Hampden County,,42.08768744,-72.52656679,774382.057,247928.613,2024-01-01 0:00:00
98e4223a-5ad8-94e0-2d73-ee5203dd4e2b,2008-11-09,,999-92-2908,,,,Delfina519,Parisian75,,,,asian,nonhispanic,F,Boston  Massachusetts  US,752 Heller Vale Apt 5,Everett,Massachusetts,Middlesex County,2149,42.40872191,-71.05759674,162931.8475,1462.6425,2024-01-01 0:00:00
8fa5a097-1970-9370-4193-a7baa3d235b5,2000-08-25,,999-84-8860,S99941898,X42921765X,Ms.,Verla696,Hamill307,,,,white,nonhispanic,F,Waltham  Massachusetts  US,804 Mohr Lodge Apt 92,Everett,Massachusetts,Middlesex County,2148,42.45174076,-71.07017883,214600.8025,115026.0475,2024-01-01 0:00:00
8c2d5e9b-0717-9616-beb9-21296a5b547d,1960-12-15,,999-50-8690,S99926520,X57197008X,Ms.,Zelda766,Ernser583,,,S,white,nonhispanic,F,Amherst  Massachusetts  US,874 Skiles Club,Haverhill,Massachusetts,Essex County,1830,42.77589674,-71.00661558,2341031.138,177213.0915,2024-01-01 0:00:00
a7624ac9-6308-e015-1c5c-115c97c631fe,1959-11-02,,999-16-7928,S99982440,X77033125X,Mrs.,Esther279,Runolfsson901,,Feil794,M,white,nonhispanic,F,Billerica  Massachusetts  US,389 Mraz Pathway Apt 38,Waltham,Massachusetts,Middlesex County,2453,42.3998323,-71.20603836,2286986.704,480203.186,2024-01-01 0:00:00
122b4063-18dc-f20f-204c-6f2da758717b,2018-09-16,,999-63-4674,,,,Carlota980,Morales679,,,,white,hispanic,F,Santiago de los Caballeros  Santiago  DO,990 Morissette Parade,Boston,Massachusetts,Suffolk County,,42.29059438,-71.09216721,10334.434,7684.246,2024-01-01 0:00:00
33c2ca32-ae38-66c5-474f-83273568906e,1955-10-25,,999-85-9194,S99955746,X89300658X,Mr.,Franklyn361,Tromp100,,,M,white,hispanic,M,Westford  Massachusetts  US,394 Weissnat Meadow,Georgetown,Massachusetts,Essex County,,42.76725123,-71.02479919,1860937.735,52453.715,2024-01-01 0:00:00
57b53310-98a9-f011-69c0-02068c37d83b,1972-07-13,,999-37-8837,S99918279,X61102329X,Mrs.,Tommye961,Simonis280,,Franecki195,M,white,nonhispanic,F,Newton  Massachusetts  US,893 McGlynn Street,Plymouth,Massachusetts,Plymouth County,2360,41.88295424,-70.5823612,1973363.844,641759.8265,2024-01-01 0:00:00
c9b4f8c6-d7be-6563-0560-c90cfe6b12ca,2003-10-08,,999-17-8551,S99937265,,Ms.,Pei116,Williamson769,,,,white,nonhispanic,F,Randolph  Massachusetts  US,996 Kemmer Port Unit 36,Woburn,Massachusetts,Middlesex County,1890,42.50824308,-71.17262434,1220556.95,0,2024-01-01 0:00:00
1f528581-7613-2b96-dce3-68c7cf967ea1,1985-04-03,,999-82-4137,S99935035,X77363212X,Mrs.,Bonita405,Bernier607,,Hagenes547,M,white,nonhispanic,F,Dover  Massachusetts  US,377 Sauer Rapid Apt 46,Whitman,Massachusetts,Plymouth County,,42.07379171,-70.9283541,2223556.528,219554.6725,2024-01-01 0:00:00
7024858b-f5e2-efee-8e2f-67f503fef6a5,1969-01-03,1997-02-17,999-91-3005,S99927148,X79375706X,Mrs.,Rosalia943,Klocko335,,Herzog843,M,white,nonhispanic,F,Boston  Massachusetts  US,898 Wisoky Green,Lynn,Massachusetts,Essex County,1906,42.50610365,-70.92554339,686276.755,24752.235,2024-01-01 0:00:00
1cfa5a70-7f3c-4227-5cf1-e182fcff4cd4,1958-09-18,,999-24-1375,S99923833,X21908759X,Mrs.,Alaine226,Willms744,,Funk324,M,white,nonhispanic,F,North Westport  Massachusetts  US,112 Metz Track,Quincy,Massachusetts,Norfolk County,2186,42.25000925,-70.97805949,2056353.781,599891.699,2024-01-01 0:00:00
2f031d4a-b070-ce15-6372-30c8fecf1164,1994-09-30,,999-47-2075,S99936245,X18832457X,Ms.,Magdalene960,Orn563,,,S,asian,nonhispanic,F,Shanghai  Shanghai Municipality  CN,206 Harber Meadow,Lexington,Massachusetts,Middlesex County,2420,42.4005015,-71.18772152,1565996.562,406247.948,2024-01-01 0:00:00
9a632ddc-b352-6dd7-0fb3-916fde80c9a3,1989-02-22,,999-66-5814,S99917255,X27930221X,Mr.,Shaun461,Dickens475,,,M,white,hispanic,M,Swampscott  Massachusetts  US,484 Bernier Orchard,Lunenburg,Massachusetts,Worcester County,,42.56494812,-71.71071868,797287.09,2312.82,2024-01-01 0:00:00
56bf1a47-8065-1ba5-6d8c-430b37a621bf,2007-06-22,,999-56-2288,,,,Denny560,Watsica258,,,,asian,nonhispanic,M,Boston  Massachusetts  US,112 Hintz Annex Unit 63,Concord,Massachusetts,Middlesex County,,42.4816292,-71.3956611,328040.88,0,2024-01-01 0:00:00
7d1a0d44-6f3e-2cd5-3347-0d97e5b57612,1980-12-04,,999-18-4055,S99975869,X57447826X,Mr.,Doyle959,Johns824,,,M,white,nonhispanic,M,Clinton  Massachusetts  US,828 Jaskolski Well Apt 88,Reading,Massachusetts,Middlesex County,,42.46877404,-71.14837512,1008922.16,443.04,2024-01-01 0:00:00
8bf6aa92-645f-3c82-ddcd-5851496a6aa8,1967-05-07,,999-57-2811,S99974478,X11431912X,Mrs.,Ethelyn789,Vandervort697,,Kling921,M,white,nonhispanic,F,Lynn  Massachusetts  US,372 Jakubowski Vista Unit 76,Easton,Massachusetts,Bristol County,,42.06241934,-71.12403926,2008486.939,409753.3915,2024-01-01 0:00:00
f0660412-c40e-4d5c-5b11-08b6da289331,1975-01-24,,999-42-9701,S99913944,X52330687X,Mr.,Terry864,King743,,,M,white,nonhispanic,M,Lynn  Massachusetts  US,827 Kling Burg Suite 32,Buzzards Bay,Massachusetts,Barnstable County,2542,41.7787118,-70.57317837,1196488.853,3228.8775,2024-01-01 0:00:00
53cc5b94-3c84-3ecf-ae94-f98203e3d8ba,2014-03-07,,999-85-1461,,,,Elwood28,Gottlieb798,,,,white,nonhispanic,M,New Bedford  Massachusetts  US,289 Mraz Knoll,Braintree,Massachusetts,Norfolk County,2184,42.21994826,-70.97768016,189892.04,0,2024-01-01 0:00:00
060e72d3-912e-55cd-0c92-5faa6cb7a6db,1969-01-03,,999-66-6825,S99931952,X14008939X,Mr.,Benny518,Tillman293,,,S,white,nonhispanic,M,Medford  Massachusetts  US,941 Rodriguez Trace Suite 61,Quincy,Massachusetts,Norfolk County,2169,42.24005776,-70.98774746,181651.842,262994.998,2024-01-01 0:00:00
18f70d07-28a0-17f3-2605-bf21cceb194b,2020-02-08,,999-52-7055,,,,Ernestina649,Fahey393,,,,white,nonhispanic,F,Medford  Massachusetts  US,631 Muller Junction Apt 77,Cambridge,Massachusetts,Middlesex County,2141,42.35348724,-71.06795193,46898.77,56.22,2024-01-01 0:00:00
a7b903a5-5c6f-3f5e-4035-62d94b0b52b3,1995-12-21,,999-21-2434,S99916617,X56847635X,Ms.,Lavonia8,Abernathy524,,,,white,nonhispanic,F,Boxford  Massachusetts  US,702 Hane Boulevard,Medford,Massachusetts,Middlesex County,2145,42.41667897,-71.08159303,694925.9575,61101.1725,2024-01-01 0:00:00
63198606-7c07-e63a-42a3-2f47419c881c,2015-01-22,,999-39-5566,,,,Rashida558,Murray856,,,,white,nonhispanic,F,Westborough  Massachusetts  US,400 Crooks Orchard,Everett,Massachusetts,Middlesex County,,42.43031721,-71.01885713,188478.56,131.22,2024-01-01 0:00:00
2dacba2b-f4f3-9726-0f13-2f1a87f69bba,1988-03-15,,999-31-2745,S99997263,X23541953X,Mrs.,Margarite168,Boyer713,,Botsford977,M,white,nonhispanic,F,Southwick  Massachusetts  US,340 Ullrich Viaduct Unit 53,Waltham,Massachusetts,Middlesex County,2453,42.32625114,-71.21393961,1371909.648,223046.0925,2024-01-01 0:00:00
